job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills
Data Engineer,Data Engineer,"Tallinn, Estonia",via Ai-Jobs.net,Full-time,0,Estonia,2/9/2023,1,0,Estonia,year,147500,,Proekspert,"['python', 'java', 'scala', 'sql', 'nosql', 'mongodb', 'mongodb', 'dynamodb', 'aws', 'redshift', 'azure', 'snowflake', 'kafka', 'express', 'linux', 'docker', 'terraform', 'ansible']"
Machine Learning Engineer,AI Solution Architect (Pre-sales),United States,via Ai-Jobs.net,Full-time,0,Sudan,2/8/2023,0,1,Sudan,year,139000,,C3.ai,"['javascript', 'python', 'aws', 'azure', 'databricks', 'hadoop', 'datarobot', 'kubernetes']"
Cloud Engineer,Cloud SysSecOps Engineer,"A Coruña, Spain",via Infosec-Jobs.com,Full-time,0,Spain,2/15/2023,1,0,Spain,year,56700,,Denodo Technologies,"['aws', 'azure', 'windows']"
Senior Data Engineer,Senior Data Engineer,"Boston, MA",via Adzuna,Full-time,0,"Illinois, United States",2/13/2023,0,1,United States,year,114550,,UnitedHealth Group,"['sql', 'mongodb', 'mongodb', 'python', 'java', 'c++', 'scala', 'sql server', 'hadoop', 'spark', 'kafka', 'airflow', 'flask', 'django', 'docker']"
Data Engineer,Data Engineer,"Iselin, NJ",via Indeed,Full-time,0,"New York, United States",2/12/2023,0,0,United States,year,158000,,Medidata Solutions,"['python', 'sql', 'aws', 'redshift']"
Data Analyst,Data Analyst II - Herbert Wertheim College of Medicine,"Miami, FL",via My ArkLaMiss Jobs,Full-time,0,"Florida, United States",2/3/2023,0,0,United States,year,55000,,Florida International University,"['r', 'sas', 'sas', 'sql', 'excel', 'spss']"
Data Engineer,Data Engineer,"Norfolk, VA",via LinkedIn,Full-time,0,"Florida, United States",2/21/2023,0,0,United States,hour,,95,Alium,"['sql', 'python', 'scala', 'r', 'nosql', 'mongodb', 'mongodb', 'sql server', 'snowflake', 'aws', 'azure', 'spark', 'airflow']"
Data Scientist,Data Scientist,Anywhere,via LinkedIn,Full-time,1,"Texas, United States",2/3/2023,0,0,United States,year,107500,,USDA Animal and Plant Health Inspection Service (APHIS),
Data Analyst,Healthcare Data and Visualization Analyst,"Enola, PA",via Ladders,Full-time,0,"New York, United States",2/20/2023,0,1,United States,year,90000,,Global Data Consultants,"['sql', 'bigquery', 'looker', 'sheets']"
Data Scientist,Data Scientist To Build SQL For User Path Analysis,Anywhere,via Upwork,Contractor,1,"Illinois, United States",2/23/2023,0,0,United States,hour,,48,Upwork,['sql']
Data Engineer,Data Engineer,"Hartford, CT",via LinkedIn,Contractor,0,"Texas, United States",2/23/2023,0,0,United States,year,105000,,The Intersect Group,"['python', 'sql', 'gcp', 'pyspark', 'jenkins', 'git']"
Data Scientist,Data Scientist,"Flushing, NY",via Ladders,Full-time,0,"New York, United States",2/17/2023,0,0,United States,year,125000,,84.51,"['python', 'sql', 'r', 'azure', 'excel', 'power bi']"
Data Analyst,Data Analyst Team Leader,"Hanoi, Hoàn Kiếm, Hanoi, Vietnam",via Ai-Jobs.net,Full-time,0,Vietnam,2/15/2023,1,0,Vietnam,year,111175,,Ninja Van,"['sql', 'power bi']"
Data Engineer,Cleared Data Engineer (TS/SCI),"Tampa, FL",via Ladders,Full-time,0,"Illinois, United States",2/19/2023,0,0,United States,year,90000,,Piper Companies,"['python', 'javascript', 'java', 'matlab', 'sql', 'bash', 'shell', 'html', 'oracle', 'spark', 'selenium', 'angular', 'docker', 'kubernetes']"
Senior Data Engineer,Senior Data Engineer,"Fremont, CA",via LinkedIn,Full-time,0,Sudan,2/24/2023,0,0,Sudan,year,205000,,Insight Global,"['python', 'java', 'scala', 'sql', 'azure', 'spark', 'git', 'docker']"
Data Analyst,Financial Data Analyst,"Long Island City, NY",via Indeed,Full-time,0,"New York, United States",2/8/2023,0,1,United States,hour,,40,UNIVERSAL Technologies,"['sql', 'excel', 'power bi']"
Data Engineer,Staff Data Engineer,Anywhere,via LinkedIn,Full-time,1,"California, United States",2/10/2023,0,1,United States,year,220000,,Harnham,"['python', 'sql', 'snowflake', 'kafka', 'kubernetes']"
Business Analyst,BI Analyst,"Mountain View, CA",via LinkedIn,Contractor,0,"California, United States",2/3/2023,1,0,United States,hour,,60,Russell Tobin,"['sql', 'tableau', 'excel']"
Data Scientist,Data Science / Analytics - Contract to Hire,Anywhere,via Upwork,Contractor,1,Sudan,2/5/2023,0,0,Sudan,hour,,112.5,Upwork,"['sql', 'azure']"
Data Analyst,Data Analyst,,via LinkedIn,Contractor,0,"New York, United States",2/10/2023,0,0,United States,hour,,41,Insight Global,"['sql', 'go', 'sheets', 'tableau']"
Software Engineer,"Software Engineer / Data Scientist, Planner Evaluation Driving Sets","San Francisco, CA",via Ladders,Full-time,0,"California, United States",2/20/2023,0,1,United States,year,175000,,Waymo,"['c++', 'python', 'tensorflow']"
Machine Learning Engineer,AI Software Architect (f/m/div.),"Stuttgart, Germany",via Ai-Jobs.net,Full-time,0,Germany,2/7/2023,0,0,Germany,year,89100,,Bosch Group,"['python', 'spark']"
Senior Data Scientist,"Senior Manager, Data Science",Anywhere,via Indeed,Full-time,1,"Texas, United States",2/6/2023,0,0,United States,year,200000,,Mattress Firm,"['r', 'python', 'express']"
Senior Data Engineer,Senior Data Engineer (Remote Eligible),"Atlanta, GA",via WREG Jobs,Full-time,0,"New York, United States",2/19/2023,0,1,United States,year,173500,,Capital One,"['python', 'nosql', 'sql', 'scala', 'java', 'shell', 'mysql', 'redshift', 'snowflake', 'databricks', 'aws', 'azure', 'pyspark', 'airflow', 'hadoop', 'kafka', 'spark', 'splunk', 'jenkins', 'docker']"
Data Engineer,Data Engineer,Anywhere,via LinkedIn,Contractor,1,"California, United States",2/3/2023,0,1,United States,hour,,60,"Pyramid Consulting, Inc","['sql', 'python', 'aws']"
Senior Data Engineer,Senior Data Engineer,"Tel Aviv-Yafo, Israel",via Ai-Jobs.net,Full-time,0,Israel,2/14/2023,0,0,Israel,year,147500,,ZipRecruiter,"['java', 'python', 'scala', 'sql', 'dynamodb', 'mysql', 'redshift', 'aws', 'azure', 'spark', 'airflow', 'kafka']"
Data Scientist,Data Scientist-Fleet Group,"Denver, CO",via Ladders,Full-time,0,"Texas, United States",2/24/2023,0,1,United States,year,115000,,Xcel Energy,"['sql', 'python', 'express']"
Data Engineer,Data Engineer,United States,via LinkedIn,Full-time,0,Sudan,2/6/2023,1,0,Sudan,year,225000,,Bruin,"['c++', 'python', 'sql', 'pandas']"
Data Scientist,"Senior/Staff Data Scientist, Classifier Design","Palo Alto, CA",via Ladders,Full-time,0,"California, United States",2/27/2023,0,0,United States,year,125000,,Delfi Diagnostics,"['r', 'python', 'pytorch']"
Data Analyst,System Data Analyst ( Hospital Or Healthcare experience Required),"New York, NY",via LinkedIn,Contractor,0,"New York, United States",2/20/2023,0,0,United States,hour,,59,"Samiti Technology, Inc.","['assembly', 'tableau']"
Data Analyst,Operations Data Analyst,"Troy, AL",via Ladders,Full-time,0,Georgia,2/21/2023,0,0,United States,year,90000,,Magna,"['assembly', 'sql', 'python', 'gdpr', 'power bi', 'unity']"
Data Analyst,Oracle Cloud Fusion ERP Data Cleansing Analyst / ERP Data Analyst,"Watsonville, CA",via Indeed,Contractor,0,"California, United States",2/14/2023,0,0,United States,hour,,67.5,Apptrics LLC,"['oracle', 'excel', 'powerpoint', 'word', 'flow']"
Data Scientist,Data Scientist,Anywhere,via Indeed,Full-time,1,Sudan,2/4/2023,0,0,Sudan,year,115000,,"Generation Genius, Inc.",['spark']
Data Engineer,Data Engineer,"Denver, CO",via LinkedIn,Full-time,0,"Florida, United States",2/2/2023,0,0,United States,year,110000,,Insight Global,"['sql', 'python', 'snowflake', 'azure', 'aws', 'kafka', 'flow']"
Data Engineer,Data Engineer - Strategy (REMOTE),Anywhere,via Indeed,Full-time,1,"Florida, United States",2/10/2023,0,1,United States,year,72750,,DICK'S Sporting Goods,"['python', 'sql', 'javascript', 'swift', 'kotlin', 'bigquery', 'azure', 'snowflake', 'databricks', 'github']"
Data Analyst,Marketing Data Analyst (Marketing Specialist),"Orange, CA",via Indeed,Full-time,0,"California, United States",2/16/2023,0,1,United States,hour,,39.54000092,Orange County Transportation Authority,['express']
Senior Data Engineer,Senior Lead Data Engineer,"Hartford, CT",via JobServe,Full-time,0,"New York, United States",2/16/2023,0,1,United States,year,246500,,Capital One,"['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']"
Data Engineer,Junior Data Engineer / Reporting Specialist,"Athens, Greece",via Ai-Jobs.net,Full-time,0,Greece,2/20/2023,0,0,Greece,year,98283,,Viva Wallet,"['sql', 'nosql', 'azure', 'aws', 'git']"
Data Analyst,Data Analyst,"Herndon, VA",via Indeed,Full-time,0,"New York, United States",2/27/2023,1,0,United States,year,70000,,Cognowiz solutions LLC,"['sql', 'oracle', 'aws', 'tableau']"
Senior Data Analyst,Senior Data Analyst,"New York, NY",via Ladders,Full-time,0,"New York, United States",2/25/2023,0,0,United States,year,90000,,Warner Music Group,"['sql', 'python', 'r', 'tableau', 'looker']"
Senior Data Scientist,Data Scientist Senior,"Cambridge, MA",via Ladders,Full-time,0,"New York, United States",2/20/2023,0,0,United States,year,90000,,Akamai Technologies,"['sql', 'scala', 'python', 'r', 'vba', 'sas', 'sas', 'c', 'aws', 'spark', 'excel', 'spss']"
Data Analyst,"Data Analyst, School Police",California,via LinkedIn,Full-time,0,"California, United States",2/13/2023,0,1,United States,hour,,28.32500076,Los Angeles Unified School District,
Data Engineer,Data Engineer (Required W2 Candidates Only),"Plano, TX",via Dice,Contractor,0,"Illinois, United States",2/23/2023,0,0,United States,hour,,72.5,New Millennium Consulting,"['scala', 'javascript', 'go', 'aws', 'hadoop', 'spark', 'docker', 'kubernetes', 'jenkins']"
Data Analyst,"Data Analyst, Leveraged Loans","New York, NY",via Ladders,Full-time,0,"New York, United States",2/6/2023,0,1,United States,year,115000,,Pitchbook,"['excel', 'word', 'powerpoint']"
Machine Learning Engineer,Machine Learning Engineer,Anywhere,via EchoJobs,Full-time,1,Poland,2/9/2023,0,0,Poland,year,85000,,vidIQ,"['go', 'python', 'nosql', 'postgresql', 'dynamodb', 'pytorch', 'spark', 'kafka', 'airflow', 'kubernetes', 'docker']"
Data Scientist,Data Scientist,United States,via LinkedIn,Full-time,0,Sudan,2/23/2023,0,0,Sudan,year,102500,,Ada Meher,"['python', 'r', 'sql', 'aws', 'hadoop', 'spark', 'tableau', 'power bi']"
Data Scientist,"Director of Data Science, New Initiatives - Remote","Boston, MA",via WANE Jobs,Full-time,0,"New York, United States",2/12/2023,0,0,United States,year,258000,,Dropbox,['sql']
Senior Data Scientist,Senior Data Scientist- Credit Risk Modeler (Hybrid),"Mesquite, TX",via JobServe,Full-time,0,Sudan,2/23/2023,0,0,Sudan,year,116600,,Citi,"['sas', 'sas', 'python', 'r']"
Data Engineer,Sr Data Engineer,"Providence, RI",via Dice,Full-time,0,"Illinois, United States",2/23/2023,0,0,United States,year,90000,,MRoads,"['python', 'sql', 'azure', 'databricks']"
Data Scientist,Program Management Data Scientist - Lead,"Huntsville, AL",via Recruit.net,Full-time,0,"Florida, United States",2/22/2023,0,1,United States,year,214000,,Northrop Grumman Corp.,
Senior Data Engineer,Senior Cloud Data Engineer,"Atlanta, GA",via Ladders,Full-time,0,"Texas, United States",2/26/2023,0,1,United States,year,175000,,Elevance Health,"['python', 'scala', 'aws', 'gcp', 'snowflake', 'bigquery', 'spark', 'terraform']"
Senior Data Engineer,Senior Data Engineer,"Pune, Maharashtra, India",via Ai-Jobs.net,Full-time,0,India,2/1/2023,0,0,India,year,147500,,Cowbell,"['java', 'python', 'scala', 'sql', 'snowflake', 'redshift', 'kafka', 'spark']"
Data Analyst,Environmental Sustainability Data Analyst- REMOTE,"Sacramento, CA",via IT JobServe,Full-time,0,"California, United States",2/10/2023,0,0,United States,year,74500,,"PerkinElmer, Inc.","['excel', 'tableau', 'sharepoint', 'powerpoint']"
Data Analyst,Anti-Financial Crime Systems Data Analyst,"New York, NY",via WJHL Jobs,Full-time,0,"New York, United States",2/24/2023,0,1,United States,year,110000,,Apple Bank for Savings,"['sql', 'sql server', 'oracle']"
Data Analyst,Data Analyst,"Addison, TX",via Robert Half,Contractor,0,"Texas, United States",2/20/2023,1,0,United States,hour,,17.09000015,Robert Half,['spreadsheet']
Data Engineer,Lead Data Engineer – (Multiple positions available),United States,via Ai-Jobs.net,Full-time,0,Sudan,2/26/2023,0,0,Sudan,year,147500,,84.51°,"['scala', 'sql', 'java', 'python', 'hadoop', 'spark', 'pyspark', 'github']"
Data Scientist,A data scientist to evaluate right AI/ML models,Anywhere,via Upwork,Contractor,1,Sudan,2/16/2023,0,0,Sudan,hour,,27.5,Upwork,
Data Analyst,Special Assistant (Chief Data Analyst),"Albany, NY",via LinkedIn,Full-time,0,"New York, United States",2/16/2023,0,0,United States,year,131971,,NYS Office of General Services,
Data Engineer,Data Engineer/Lead Data Engineer,Anywhere,via Indeed,Contractor,1,"Florida, United States",2/1/2023,1,0,United States,hour,,67.5,Epsilon Solutions LTD.,"['python', 'scala', 'java', 'dynamodb', 'databricks', 'aws', 'spark', 'hadoop', 'airflow', 'git', 'jenkins']"
Data Analyst,Market Data Management/Administration,"Porto, Portugal",via Ai-Jobs.net,Full-time,0,Portugal,2/3/2023,0,0,Portugal,year,56700,,Natixis in Portugal,
Data Analyst,"Principal Associate, Data Analyst Risk Associate: ExceptionsOne Team","Southlake, TX",via JobServe,Full-time,0,"Texas, United States",2/9/2023,1,1,United States,year,138516,,Capital One,"['angular', 'jira', 'confluence']"
Data Engineer,Data Engineer | PAID BOOTCAMP,"Los Angeles, CA",via Indeed,Full-time,0,"Texas, United States",2/10/2023,0,1,United States,year,70000,,PCS Global Tech,"['java', 'python', 'sql']"
Data Engineer,Data Engineer III - Network,"Phoenix, AZ",via Ladders,Full-time,0,"Illinois, United States",2/21/2023,0,1,United States,year,125000,,Crown Castle International Corp,"['sql', 'python', 'ruby', 'ruby', 'go', 'c', 'sql server', 'mysql', 'oracle', 'power bi', 'github']"
Data Engineer,Big Data Engineer/Analyst,Anywhere,via Upwork,Contractor,1,"Illinois, United States",2/6/2023,1,0,United States,hour,,65,Upwork,"['aws', 'snowflake']"
Data Analyst,Sr. Data Analyst,"Jacksonville, FL",via ZipRecruiter,Full-time,0,"Florida, United States",2/20/2023,0,1,United States,year,94400,,TIAA Bank,"['sql', 'ssrs', 'power bi', 'tableau', 'ssis', 'excel', 'powerpoint', 'sharepoint']"
Data Engineer,Azure Data Engineer,United States,via Indeed,Full-time,0,"Illinois, United States",2/23/2023,0,1,United States,year,104688.1406,,proit-inc,"['python', 'sql', 'azure', 'snowflake', 'databricks', 'airflow']"
Data Analyst,Data Analytics Lead,"Blue Diamond, NV",via ZipRecruiter,Full-time,0,"California, United States",2/24/2023,0,1,United States,year,116700,,Cox Communications,"['sql', 'python', 'r', 'ggplot2', 'pandas', 'numpy', 'scikit-learn', 'alteryx', 'tableau']"
Data Scientist,Data Scientist,United States,via Indeed,Full-time,0,Sudan,2/24/2023,0,0,Sudan,year,69000,,North Dakota State Government,
Data Engineer,AWS Data Engineer,"Fort Lauderdale, FL",via Ai-Jobs.net,Full-time,0,"New York, United States",2/20/2023,1,1,United States,year,80850,,OZ,"['sql', 'aws', 'redshift', 'spark', 'linux']"
Data Scientist,Data Scientist (Marketing Mix Modeling),Anywhere,via LinkedIn,Full-time,1,Sudan,2/14/2023,0,0,Sudan,year,147500,,New American Funding,"['sql', 'python', 'sas', 'sas', 'tableau', 'excel']"
Data Scientist,Data Scientist IV,"Annapolis Junction, MD",via WJTV Jobs,Full-time,0,Georgia,2/7/2023,0,0,United States,year,115000,,Peraton,
Data Engineer,Data Engineer,Texas,via LinkedIn,Full-time,0,"Illinois, United States",2/14/2023,0,0,United States,year,125000,,"IDR, Inc.","['python', 'sql', 'aws', 'spark', 'hadoop']"
Data Scientist,Data Scientist - Risk Platform,"Jakarta, Indonesia",via Ai-Jobs.net,Full-time,0,Indonesia,2/2/2023,0,0,Indonesia,year,69962.5,,Cermati.com,"['r', 'python', 'sas', 'sas', 'sql', 'excel']"
Senior Data Engineer,Senior Data Engineer for a Financial Domain Company,"Durham, NC",via Dice,Contractor,0,Georgia,2/2/2023,0,0,United States,hour,,75,Amtex System Inc.,"['sql', 'java', 'oracle', 'aws', 'jira']"
Data Engineer,"Data Engineer, Lead","McLean, VA",via Dice,Contractor,0,Georgia,2/21/2023,1,1,United States,year,185000,,Kforce Technology Staffing,"['python', 'sql', 'databricks', 'aws', 'spark']"
Data Engineer,Data Engineer,Anywhere,via LinkedIn,Full-time,1,"Florida, United States",2/2/2023,0,0,United States,year,146500,,MSI International,"['scala', 'python', 'mongo', 'sql', 'java', 'shell', 'postgresql', 'db2', 'sql server', 'hadoop', 'spark', 'react', 'node', 'visio', 'yarn']"
Data Scientist,"DATA SCIENTIST, MACHINE LEARNING","Austin, TX",via IT JobServe,Full-time,0,"Texas, United States",2/10/2023,0,0,United States,year,197000,,Meta Inc,"['sql', 'python', 'r', 'spark', 'hadoop']"
Senior Data Engineer,Senior Data Engineer,"Lebanon, NJ",via Ladders,Full-time,0,Georgia,2/22/2023,0,0,United States,year,150000,,New York Life Insurance Co,"['sql', 'python', 'aws', 'oracle', 'hadoop', 'tableau']"
Data Analyst,Data Analyst,Anywhere,via LinkedIn,Full-time,1,"Texas, United States",2/2/2023,0,1,United States,year,70000,,Coda Search│Staffing,"['sql', 'python', 'r', 'sas', 'sas', 'plotly', 'seaborn', 'matplotlib', 'spss']"
Software Engineer,BI Developer,"Amsterdam, Netherlands",via Ai-Jobs.net,Full-time,0,Netherlands,2/1/2023,0,0,Netherlands,year,56700,,Metyis,"['azure', 'dax']"
Senior Data Analyst,"Senior Data Analyst, Business Intelligence","Ocala, FL",via Indeed,Full-time,0,Georgia,2/21/2023,0,1,United States,year,96500,,Cox Communications,"['sql', 'snowflake', 'aws', 'oracle', 'hadoop', 'microstrategy', 'excel']"
Data Scientist,Data Scientist,"Austin, TX",via Ladders,Full-time,0,Sudan,2/9/2023,0,1,Sudan,year,90000,,Surveying And Mapping (SAM),"['python', 'nosql', 'databricks', 'azure', 'tensorflow', 'pytorch', 'keras', 'spark', 'opencv']"
Data Engineer,AML Data Engineer,"Charlotte, NC",via Indeed,Full-time,0,"Florida, United States",2/3/2023,0,1,United States,year,110551.3281,,ProIT Inc.,"['sql', 'sql server', 'db2', 'excel', 'alteryx', 'tableau']"
Data Scientist,Intern - Data Scientist,Anywhere,via Indeed,Internship,1,"Texas, United States",2/22/2023,0,1,United States,hour,,19,Alliant Insurance Services,"['assembly', 'word']"
Machine Learning Engineer,Deep Learning Research Engineer,"London, UK",via Ai-Jobs.net,Full-time,0,United Kingdom,2/8/2023,0,0,United Kingdom,year,200000,,Plumerai,"['python', 'tensorflow', 'keras', 'pytorch']"
Data Engineer,Data Engineer,Anywhere,via LinkedIn,Full-time,1,"New York, United States",2/15/2023,0,1,United States,year,85000,,BibleProject,"['sql', 'nosql', 'python', 'cassandra', 'bigquery', 'hadoop', 'spark', 'kafka', 'looker', 'tableau']"
Senior Data Engineer,Senior Data Engineer,"Buckhead, GA",via Adzuna,Full-time,0,Sudan,2/10/2023,1,0,Sudan,year,152500,,Jobot,
Data Analyst,Data Analyst Manager,"Montrouge, France",via Ai-Jobs.net,Full-time,0,France,2/20/2023,0,0,France,year,111175,,Binance,"['r', 'sas', 'sas', 'sql', 'nosql', 'vba', 'c++', 'java', 'neo4j', 'tableau']"
Data Analyst,Data Analyst / Processor,"Palm Harbor, FL",via ZipRecruiter,Full-time,0,"Florida, United States",2/1/2023,0,0,United States,year,45000,,"Star Media Enterprises, Inc","['sql', 'sql server', 'excel', 'spreadsheet']"
Data Scientist,Data Scientist,Anywhere,via LinkedIn,Full-time,1,Sudan,2/2/2023,0,1,Sudan,year,130000,,murmuration,"['sql', 'python', 'r']"
Data Analyst,Lead Finance Data Analyst,"Jacksonville, FL",via Ladders,Full-time,0,"Florida, United States",2/27/2023,0,1,United States,year,115000,,Johnson & Johnson,"['sql', 'alteryx', 'sap']"
Data Engineer,Azure Data Engineer- Asset Management firm 200k,"Chicago, IL",via LinkedIn,Full-time,0,Georgia,2/14/2023,0,0,United States,year,185000,,Atlantic Partners Corporation,"['sql', 'c#', 'python', 'powershell', 'sql server', 'azure']"
Data Analyst,Lead Data Analyst,"Los Angeles, CA",via ZipRecruiter,Full-time,0,"California, United States",2/17/2023,0,1,United States,year,160000,,MediaAlpha,"['sql', 'python', 'r', 'go', 'airflow', 'excel']"
Senior Data Scientist,"Senior Manager, Data Science","Chicago, IL",via My ArkLaMiss Jobs,Full-time,0,"Illinois, United States",2/18/2023,0,1,United States,year,242597,,Capital One,"['python', 'r', 'scala', 'aws', 'spark', 'flask']"
Data Analyst,Senior Human Resources Data Analyst,"Plano, TX",via Ladders,Full-time,0,"Texas, United States",2/15/2023,0,1,United States,year,150000,,JP Morgan Chase & Co.,"['sql', 'r', 'python', 'excel', 'alteryx', 'powerpoint', 'spreadsheet']"
Data Engineer,Lead Data Engineer,"New York, NY",via LinkedIn,Full-time,0,"New York, United States",2/1/2023,0,1,United States,year,172500,,CVS Health,"['sql', 'python', 'shell', 'mysql', 'sql server', 'db2', 'bigquery', 'gcp', 'aws', 'oracle', 'hadoop', 'spark', 'linux', 'jira']"
Data Analyst,Data Analyst II (Healthcare Analytics),"Palos Verdes Estates, CA",via My ArkLaMiss Jobs,Full-time,0,"California, United States",2/27/2023,0,1,United States,year,72250,,California Health & Wellness,"['python', 'r']"
Data Scientist,Geographer Data Scientist,"Albany, OR",via WANE Jobs,Full-time,0,"California, United States",2/24/2023,0,0,United States,year,97000,,LEIDOS,"['python', 'r']"
Senior Data Scientist,"Senior Manager, Data Science CXI (Remote)","Atlanta, GA",via KHON2 Jobs,Full-time,0,"Florida, United States",2/28/2023,0,0,United States,year,210000,,The Home Depot,"['sql', 'bigquery', 'tableau']"
Data Scientist,Data Scientist,Anywhere,via LinkedIn,Full-time,1,Sudan,2/24/2023,0,1,Sudan,year,130000,,Storm2,
Senior Data Scientist,Senior Data Scientist,"Tel Aviv-Yafo, Israel",via Ai-Jobs.net,Full-time,0,Israel,2/2/2023,0,0,Israel,year,157500,,Hello Heart,"['python', 'r', 'pytorch', 'tensorflow', 'scikit-learn']"
Business Analyst,Business Analyst,"Oakland, CA",via WANE Jobs,Full-time,0,"California, United States",2/14/2023,0,0,United States,year,71000,,PG&E Corporation,"['sql', 'oracle']"
Data Engineer,Machine Learning Data Engineer,"Oak Ridge, TN",via Ladders,Full-time,0,"Florida, United States",2/22/2023,0,1,United States,year,90000,,Oak Ridge National Laboratory,"['sql', 'python', 'html', 'pandas', 'spark', 'pytorch', 'tensorflow', 'linux', 'word', 'git']"
Data Scientist,Data science,Anywhere,via Upwork,Contractor,1,Sudan,2/20/2023,0,0,Sudan,hour,,26.5,Upwork,"['python', 'sql', 'tableau']"
Senior Data Analyst,Senior Data Analyst (m/w/d),"Hamburg, Germany",via Ai-Jobs.net,Full-time,0,Germany,2/18/2023,1,0,Germany,year,111175,,Publicis Groupe,"['html', 'css', 'javascript', 'tableau', 'power bi', 'qlik']"
Data Scientist,Data management og -governance konsulenter,"Copenhagen, Denmark",via Ai-Jobs.net,Full-time,0,Denmark,2/11/2023,0,0,Denmark,year,56700,,PA Consulting,
Data Scientist,Data Scientist,Anywhere,via AngelList,Full-time,1,"Texas, United States",2/7/2023,0,1,United States,year,55000,,Hyfe,"['javascript', 'python', 'r', 'c++', 'aws', 'react', 'tensorflow', 'pytorch', 'flask', 'django']"
Data Scientist,Engineering Manager II- Data Science,"Boston, MA",via LinkedIn,Full-time,0,"New York, United States",2/28/2023,0,1,United States,year,184500,,Toast,"['go', 'tensorflow', 'pytorch']"
Software Engineer,Director of Software Engineer,Anywhere,via Robert Half,Full-time,1,Brazil,2/6/2023,0,0,Brazil,year,182500,,Robert Half,"['c#', 'python', 'javascript', 'html', 'css', 'mongodb', 'mongodb', 'dynamodb', 'mysql', 'couchbase', 'redis', 'elasticsearch', 'aws', 'azure', 'asp.net']"
Data Analyst,Data Analyst - Hybrid (0842),"Philadelphia, PA",via Dice,Contractor,0,"New York, United States",2/8/2023,1,0,United States,hour,,37.5,"BT Consulting, LLC",
Data Scientist,Jr Data Scientist,"Farmington Hills, MI",via ZipRecruiter,Contractor,0,"Illinois, United States",2/3/2023,0,1,United States,hour,,61,KYYBA,"['r', 'python', 'db2', 'azure', 'oracle', 'excel', 'tableau']"
Senior Data Scientist,Senior Data Scientist (Credit Risk),Anywhere,via LinkedIn,Full-time,1,"California, United States",2/9/2023,0,0,United States,year,167500,,Engtal,"['python', 'sas', 'sas', 'matlab', 'r', 'sql', 'spark', 'tableau']"
Data Analyst,Music Generalist / Music Data Analyst / Music Research Analyst,"Austin, TX",via LinkedIn,Contractor,0,"Texas, United States",2/27/2023,1,0,United States,hour,,18.5,KTek Resourcing,['sheets']
Senior Data Analyst,Senior Data Analyst,"Chandler, AZ",via Ai-Jobs.net,Full-time,0,Sudan,2/2/2023,0,1,Sudan,year,111175,,Realty ONE Group,"['python', 'aws', 'power bi', 'excel', 'spss']"
Business Analyst,Senior Business Analytics Consultant - Remote Eligible,"Albuquerque, NM",via Jobs Market,Full-time,0,Sudan,2/3/2023,0,1,Sudan,hour,,44.52000046,Presbyterian Healthcare Services,"['sql', 'sas', 'sas', 'tableau']"
Data Scientist,Sr. Data Scientist,"Atlanta, GA",via Ladders,Full-time,0,"Florida, United States",2/15/2023,0,0,United States,year,90000,,Sage Intacct,
Senior Data Engineer,Senior Data Engineer - Principal Associate (Remote Eligible),"Cambridge, MA",via WANE Jobs,Full-time,0,"New York, United States",2/17/2023,0,1,United States,year,170672,,Capital One,"['java', 'scala', 'python', 'nosql', 'sql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']"
Data Engineer,AWS Data Engineer,"Austin, TX",via LinkedIn,Contractor,0,Sudan,2/22/2023,0,0,Sudan,hour,,72.5,Apex Systems,"['scala', 'dynamodb', 'aws', 'spark', 'kafka']"
Data Analyst,Data Analyst,"Charlotte, NC",via Dice,Contractor,0,Georgia,2/1/2023,1,1,United States,hour,,36.91500092,"MATRIX Resources, Inc.",['sharepoint']
Data Engineer,Lead Data Engineer,"San Diego, CA",via Ladders,Full-time,0,Sudan,2/16/2023,0,0,Sudan,year,150000,,Petco Animal Supplies,"['c', 'express']"
Data Engineer,"Data Engineer (SQL, Python, Pyspark, S3, Glue)",Anywhere,via LinkedIn,Contractor,1,"New York, United States",2/8/2023,0,0,United States,hour,,75,Strategic Staffing Solutions,"['sql', 'python', 'nosql', 'mongodb', 'mongodb', 'cassandra', 'aws', 'databricks', 'pyspark', 'spark', 'kafka', 'git', 'terraform', 'kubernetes', 'docker']"
Data Engineer,Data Engineer,,via LinkedIn,Full-time,0,"Illinois, United States",2/24/2023,1,0,United States,year,165000,,Soni,"['sql', 'python', 'oracle', 'pandas', 'spark']"
Data Engineer,Data Engineer,"Irving, TX",via LinkedIn,Full-time,0,"Illinois, United States",2/13/2023,0,1,United States,year,105000,,CVS Health,"['python', 'java', 'bash', 'shell', 'nosql', 'cassandra', 'mysql', 'gcp', 'azure', 'snowflake', 'hadoop', 'unix']"
